cout_materiaux_ht;cout_implementation_ht;cout_total_ht;cout_induit_ht;date_sigture_devis;date_facture;date_x;annee_travaux;revenu_mo;climat;code_region;code_departement;departement;type_logement;annee_construction;constr_cat;nb_pieces;surf_habitable;montant_aides_fincieres;type_aides_fincieres;renovation_globale;marque;modele;energie_chauffage_avt_travaux;energie_chauffage_installee;generateur;type_chaudiere;cop;puissance;rendement
;;5307;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1970;de 1945 à 1973;4;56;2387;;Chauffage, VMC;;;ELECTRICITE;BOIS;POELE;;;;
;;14766;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;4;85;10817;;VMC, menuiseries, chauffage, isolation combles;;;;;;;;;
;;34123.22275;;;;01/01/2015;2015;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage;;;FIOUL;BOIS;CHAUDIERE;STANDARD;;;
;;33268;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;5;82;9476;;VMC, chauffage, Menuiseries, VR, isolation des combles;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage;;;;;;;;;
;;10501;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1970;de 1945 à 1973;6;83;7051;;Chauffage, VMC, isolation;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;6;;0;;Isolation combles/toiture, Chauffage, Menuiseries, Electricité;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;;2005;ap. 1990;;;0;;;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Isolation combles/toiture, Chauffage;;;;;;;;;
;;10975;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1950;de 1945 à 1973;6;165;6584;;Chauffage;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Isolation combles/toiture, Chauffage, Menuiseries;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;4;;0;;Chauffage;;;BOIS;BOIS;;;;;
;;19104;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1960;de 1945 à 1973;5;77;13372;;Chauffage, Menuiseries, Volets roulants, ballon ECS, VMC;;;;;;;;;
;;19919;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;6;168;14692;;Isolation + menuiseries + chaudière;;;;;;;;;
;;20691;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;173;14000;;Chauffage;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1970;de 1945 à 1973;6;;0;;Chauffage + 2 fenetres;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1939;av. 1945;6;;0;;;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;6;;0;;Isolation murs, Isolation combles/toiture, Chauffage, Menuiseries;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1939;av. 1945;6;;0;;Chauffage, Menuiseries, Ventilation, Electricité, Autre;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1960;de 1945 à 1973;;;0;;;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;6;;0;;Isolation combles, Menuiseries, Chauffage;;;;;;;;;
;;21250;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1930;av. 1945;6;109;14000;;Menuiseries, isolation, chauffage, VMC;;;;;;;;;
;;20888;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1974;de 1974 à 1990;6;180;10600;;Chauffage;;;;;;;;;
;;23940;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;5;116;14488;;Chauffage, Menuiseries, Volets roulants, autres;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1980;de 1974 à 1990;;;0;;;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;6;;0;;Isolation comble + chgt chaudière;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;3;;0;;;;;;;;;;;
5660;1325;6985;1827;;28/12/2011;28/12/2011;2011;;H2;53;;;;;;;;;;;WODTKE;FRANC;;BOIS;POELE;;;;90
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;6;139;0;;Chauffage, Isolation, VMC, menuiseries;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1996;ap. 1990;5;86;0;;;;;;;;;;;
;;15646;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1950;de 1945 à 1973;6;171;10074;;Isolation combles/toiture, Chauffage;;;FIOUL;BOIS;;;;;
;;18434;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1950;de 1945 à 1973;6;116;11060;;Isolation combles/toiture, Chauffage, Menuiseries;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage, Menuiseries;;;;;;;;;
;;42715;;;;01/01/2018;2018;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;;145;24107;;Rénovation complète;;;;;;;;;
5513;1567;7080;1544;;21/09/2011;21/09/2011;2011;;H2;53;;;;;;;;;;;WODTKE;MOMO;;BOIS;POELE;;;8;70
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1970;de 1945 à 1973;;;0;;Isolation murs, Chauffage, Menuiseries;;;;;;;;;
;;11676;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1975;de 1974 à 1990;6;95;7301;;Chauffage, Menuisieries, Volets roulants, Autre;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;4;113;0;;Isolation murs, Isolation combles/toiture, Chauffage;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1950;de 1945 à 1973;6;344;27750;;Isolation murs, Isolation combles/toiture, Chauffage, Menuiseries, Ventilation, Electricité, Plomberie, Gros Oeuvre;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;4;120;0;;;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;4;;0;;Isolation murs, Isolation combles/toiture, Chauffage;;;;;;;;;
;;5687;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;;115;3981;;chauffage;;;;;;;;;
;;19488;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1970;de 1945 à 1973;6;190;10369;;Chauffage, Menuiseries, VR;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2000;ap. 1990;5;;0;;Isolation combles/toiture, Chauffage;;;;;;;;;
;;23222.74882;;08/01/2017;12/01/2017;12/01/2017;2017;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;165;0;;;;;;BOIS;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;COLLECTIF;;;3;;0;;Isolation murs, Isolation combles/toiture, Chauffage, Menuiseries, Autre;;;;;;;;;
;;16459;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;98;11521;;Chauffage, Menuiseries;;;;;;;;;
;;30541;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1984;de 1974 à 1990;;;14000;;fenêtres, PE, isolation combles, chauffage, remplacement baignoire;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1890;av. 1945;;;0;;;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage, Menuiseries;;;;;;;;;
;;26633;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;6;153;6526;;Isolation combles/toiture, chauffage;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Isolation combles/toiture, Chauffage;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1970;de 1945 à 1973;6;;0;;Isolation murs, Chauffage;;;;;;;;;
;;32841;;;;;;;H1;27;21;COTE-D'OR;COLLECTIF;1950;de 1945 à 1973;4;69;16250;;Isolation murs, Chauffage, Ventilation, Electricité, Plomberie, Autre;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Isolation combles/toiture, Chauffage;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;COLLECTIF;1900;av. 1945;6;;0;;Isolation murs, Isolation combles/toiture, Chauffage;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1890;av. 1945;;;0;;Chauffage, Menuiseries;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1935;av. 1945;6;;0;;Chauffage;;;FIOUL;FIOUL;;;;;
;;6422;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;3;56;4881;;Chauffage;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;6;85;0;;Chauffage, Menuiseries;;;;;;;;;
;;30029;;;;10/12/2017;2017;;H1;27;21;COTE-D'OR;INDIVIDUEL;1974;de 1974 à 1990;5;;14750;;Isolation combles/toiture, Chauffage, Menuiseries;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;COLLECTIF;;;;;0;;;;;;;;;;;
;;20026;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;6;118;13977;;Chauffage;;;;;;;;;
;;;;;;;;;H2;53;;;;;;;;;;;;;;;;;;;
;;18048;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1984;de 1974 à 1990;;117;8475;;Chauffage, Remplacement Baignoire par douche;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;;;0;;Chauffage;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1960;de 1945 à 1973;5;;0;;Chauffage, Menuiseries;;;FIOUL;GAZ;;;;;
;;17523;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1997;ap. 1990;6;148;12266;;Chauffage, Menuiseries, Ventilation;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;;;0;;Isolation, électricité, fenêtres, chauffage, douche avec marche;;;;;;;;;
;;;;;;09/01/2017;2017;;H1;27;21;COTE-D'OR;;1820;av. 1945;;;0;;Chauffage, Menuiseries;;;;;;;;;
;;;;;;01/01/2018;2018;;H1;27;21;COTE-D'OR;COLLECTIF;;;;;0;;;;;;;;;;;
;;13928;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1840;av. 1945;6;120;8033;;Chgt chaudière + isolation;;;;;;;;;
