cout_materiaux_ht;cout_implementation_ht;cout_total_ht;cout_induit_ht;date_sigture_devis;date_facture;date_x;annee_travaux;revenu_mo;climat;code_region;region;code_departement;departement;type_logement;annee_construction;constr_cat;nb_pieces;surf_habitable;montant_aides_fincieres;type_aides_fincieres;renovation_globale;marque;modele;poste_isolation;isolant;epaisseur;resistance;surface;lambda
;;123.2227488;;;11/09/2014;11/09/2014;2014;;H2;53;BRE;56;MORBIHAN;;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;;6;10;
;;123.2227488;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;KUF;;ITE;PLASTIQUES;120;3.9;;
;;128.9099526;;;;;;;H2;53;BRE;;;;;;;;;;;;;RAMPANTS;LAINE MINERALE;;7.4;4;
;;134.5971564;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;STO;;ITE;PLASTIQUES;140;3.7;;
;;135.5450237;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;;;RAMPANTS;LAINE MINERALE;;6;;
;;137.4407583;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;STO;;ITE;PLASTIQUES;120;3.9;;
;;137.4407583;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;KUF;;ITE;PLASTIQUES;160;5.1;;
;;152.6066351;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;;7;;
;;156;;16/11/2016;;16/11/2016;2016;;H2;53;BRE;56;MORBIHAN;INDIVIDUEL;;;;;;;;;;ITI;LAINE MINERALE;120;3.8;4;0.032
;;156.3981043;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;KUF;;ITE;PLASTIQUES;120;3.9;;
;;166.8246445;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;STO;;ITE;PLASTIQUES;;3.9;;
;;167.7725118;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;KUF;;ITE;PLASTIQUES;120;3.9;;
;;170.6161137;;;;;;;;11;IDF;;;COLLECTIF;;;;;;;;KUF;;ITE;PLASTIQUES;120;7.5;;
;;182.9383886;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;;;ITE;PLASTIQUES;120;3.8;;
;;188.6255924;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;STO;;ITE;PLASTIQUES;120;3.8;;
;;207.5829384;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;;;SARKING;;;;;
;;207.5829384;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;STO;;ITE;;;3.8;;
;;227.4881517;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;;;SARKING;LAINE MINERALE;200;6;;0.0333
;;229;;;;;;;H2;53;BRE;;;;;;;;;;;ISOVER;IBR;COMBLES PERDUES;LAINE MINERALE;300;7.5;20;
;;237.9146919;;13/01/2016;;13/01/2016;2016;;;75;NAQ;;;INDIVIDUEL;;;;;;;;;;RAMPANTS;LAINE MINERALE;120;6;35;
;;238;13.1;;;;;;H2;53;BRE;;;;;;;;;;;ISOVER;GR32;ITI;LAINE MINERALE;120;3.8;23;
;;246.4454976;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;STO;;ITE;;;3.8;;
;;247.3933649;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;;;SARKING;PLASTIQUES;132;6;;0.0217
218;32;250;;;;;;27000;H2;84;ARA;26;DROME;INDIVIDUEL;1963;de 1945 � 1973;;90;;;RENOVATION SIMPLE;;;COMBLES PERDUES;;;;;
;;261.6113744;;;;;;;H2;53;BRE;;;;;;;;;;;;;RAMPANTS;LAINE MINERALE;;6.5;10;
;;264.4549763;;;25/02/2014;25/02/2014;2014;;H2;53;BRE;56;MORBIHAN;;;;;;;;;;;COMBLES PERDUES;LAINE VEGETALE;;7.7;17;
;;272.985782;;;29/11/2013;29/11/2013;2013;;H2;53;BRE;56;MORBIHAN;;;;;;;;;;;COMBLES PERDUES;LAINE VEGETALE;;7.7;17;
;;277.7251185;;;03/02/2010;03/02/2010;2010;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;PLANCHER BAS;LAINE VEGETALE;150;3.8;11;
;;295.7345972;;;09/11/2014;09/11/2014;2014;;H2;53;BRE;56;MORBIHAN;;;;;;;;;;;ITI;PLASTIQUES;;3.8;6.25;
;;312.7962085;;;;;;;H1;32;HDF;02;AISNE;INDIVIDUEL;1900;av. 1945;;77;;;R�novation � plusieurs gestes de travaux ;;;ITE;;;;;
256;88;344;484.436019;06/10/2018;07/10/2018;07/10/2018;2018;;H3;93;PAC;13;BOUCHES-DU-RHONE;INDIVIDUEL;;;;;579;CITE. PROVENCE ECO-RENOV;RENOVATION A PLUSIEURS GESTES DE TRAVAUX;METISSE RT LE RELAIS;;ITI;;145;3.7;13.5;
;;345.971564;;;24/02/2016;24/02/2016;2016;;H2;53;BRE;;;INDIVIDUEL;;;;;;;;;;PLANCHER BAS;PLASTIQUES;;1.3;7;
;;363.9810427;;;22/02/2009;22/02/2009;2009;;H1;24;CVL;;;;;;;;;;;;;PLANCHER BAS;LAINE VEGETALE;300;7.7;17;
;;369.6682464;;;;;;;H1;84;ARA;69;RHONE;INDIVIDUEL;1912;av. 1945;;105;;;;;;ITI;;;;;
237.9146919;132.7014218;371.563981;;;14/10/2013;14/10/2013;2013;;H2;53;BRE;56;MORBIHAN;;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;;7.5;16.8;
;;379.1469194;;;;;;;H2;53;BRE;;;;;;;;;;;;;RAMPANTS;LAINE MINERALE;;6;16;
;;380.0947867;;;;;;;H2;53;BRE;;;;;;;;;;;;;RAMPANTS;LAINE MINERALE;;6;31;
;;395;;16/11/2016;;16/11/2016;2016;;H2;53;BRE;56;MORBIHAN;INDIVIDUEL;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;320;7.1;11.5;0.045
;;399;;21/06/2018;21/06/2018;21/06/2018;2018;;H1;84;ARA;01;AIN;INDIVIDUEL;;;;;441;CEE;RENOVATION SIMPLE;URSA;PULS'R47 / SOUFL'R47;COMBLES PERDUES;LAINE MINERALE;335;7;70;0.048
;;419.9052133;;;14/04/2015;14/04/2015;2015;;H2;53;BRE;56;MORBIHAN;;;;;;;;;;;COMBLES PERDUES;LAINE VEGETALE;;7;17;
385;62;447;;04/11/2018;06/12/2018;06/12/2018;2018;;H1;27;BFC;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;;;;;R�novation � plusieurs gestes de travaux;IDEM;NOVIDEM;COMBLES PERDUES;LAINE VEGETALE;430;7.5;11;
;;450.2369668;;;11/03/2011;11/03/2011;2011;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;ITE;LAINE MINERALE;100;2.9;12;
;;473.9336493;;;;;;;H1;84;ARA;42;LOIRE;;;;;;;;BBC RENOVATION;;;PLANCHER BAS;;;;;
;;473.9336493;;;;;;;H1;84;ARA;42;LOIRE;;;;;;;;BBC RENOVATION;;;RAMPANTS;;;;;
;;476.7772512;;;;;;;H1;84;ARA;42;LOIRE;INDIVIDUEL;1945;de 1945 � 1973;;120;;;;;;PLANCHER BAS;;;;;
;;483.4123223;;;29/01/2016;29/01/2016;2016;;H2;53;BRE;;;INDIVIDUEL;;;;;;;;;;PLANCHER BAS;LAINE VEGETALE;;5.2;19;
;;486.2559242;;;;;;;H2;53;BRE;35;ILLE-ET-VILAINE;;1900;av. 1945;;32;;;;;;COMBLES PERDUES;;;;;
;;504.2654028;;;18/06/2014;18/06/2014;2014;;H2;53;BRE;56;MORBIHAN;;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;;7.1;19;
;;506;;16/11/2016;;16/11/2016;2016;;H2;53;BRE;56;MORBIHAN;INDIVIDUEL;;;;;;;;;;ITI;LAINE MINERALE;450;13.2;11.5;0.034
;;511.8483412;;;15/07/2017;15/07/2017;2017;;H2;53;BRE;;;INDIVIDUEL;;;;;;;;;;PLANCHER BAS;PLASTIQUES;;3.2;16;
;;512.7962085;;;;;;;H2;53;BRE;35;ILLE-ET-VILAINE;;1900;av. 1945;;125;;;;;;ITI;;;;;
;;515;55.9;;;;;;;;Z_Non Connu;;;;;;;;;;;ISOVER;ISOCONFORT;RAMPANTS;LAINE MINERALE;240;6.9;38;
;;515;;;;;;;H2;53;BRE;;;;;;;;;;;ISOVER;ISOCONFORT;RAMPANTS;LAINE MINERALE;240;6.9;38;
;;522;;05/04/2016;;05/04/2016;2016;;H2;53;BRE;56;MORBIHAN;INDIVIDUEL;;;;;;;;;;RAMPANTS;LAINE MINERALE;200;6.3;7;0.0317
248.3412322;279.6208531;527.9620853;;;05/07/2009;05/07/2009;2009;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;ITE;LAINE VEGETALE;120;2.8;12;
;;528;132;20/07/2018;;20/07/2018;2018;;H1;27;BFC;;;INDIVIDUEL;2003;ap. 1990;;;;;R�novation � plusieurs gestes de travaux;;;COMBLES PERDUES;LAINE VEGETALE;370;7.5;16.5;
;;530.8056872;;;;;;;H2;53;BRE;;;;;;;;;;;;;RAMPANTS;LAINE MINERALE;;6.2;20;
;;531.7535545;;;;;;;H2;53;BRE;35;ILLE-ET-VILAINE;;1900;av. 1945;;67;;;;;;ITI;;;;;
;;531.7535545;;;;;;;H1;84;ARA;42;LOIRE;;;;;;;;BBC RENOVATION;;;RAMPANTS;;;;;
;;540.2843602;;;22/04/2010;22/04/2010;2010;;H1;24;CVL;;;;;;;;;;;;;PLANCHER BAS;LAINE VEGETALE;250;5.5;12;
;;540.2843602;;;;;;;H1;84;ARA;69;RHONE;INDIVIDUEL;1945;de 1945 � 1973;;75;;;;;;RAMPANTS;;;;;
120.3791469;439.8104265;560.1895735;;;;;;;H2;76;OCC;;;INDIVIDUEL;1900;av. 1945;;;;;;;;COMBLES PERDUES;;;;;
;;568.7203791;;;;;;;H2;53;BRE;;;;;;;;;;;;;RAMPANTS;LAINE MINERALE;;3.3;24;
;;568.7203791;;;;;;;H2;53;BRE;35;ILLE-ET-VILAINE;;1800;av. 1945;;150;;;;;;PLANCHER BAS;;;;;
;;568.7203791;;;;;;;H1;84;ARA;42;LOIRE;;;;;;;;BBC RENOVATION;;;ITI;;;;;
;;568.7203791;;11/02/2016;;11/02/2016;2016;;;75;NAQ;;;INDIVIDUEL;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;375;8;25;
;;569.6682464;;;;;;;H2;53;BRE;;;;;;;;;;;;;RAMPANTS;LAINE MINERALE;;6;26;
;;571.563981;;;;;;;H2;53;BRE;;;;;;;;;;;;;RAMPANTS;LAINE MINERALE;;8;5.45;
452.1327014;136.492891;588.6255924;;;08/07/2014;08/07/2014;2014;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;280;8;29;
;;589.5734597;;;13/03/2009;13/03/2009;2009;;H2;24;CVL;;;;;;;;;;;;;COMBLES PERDUES;LAINE VEGETALE;250;6.2;15;
;;592.4170616;;;31/07/2014;31/07/2014;2014;;H2;53;BRE;56;MORBIHAN;;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;;7.1;25;
;;599;;30/11/2015;;30/11/2015;2015;;H2;53;BRE;56;MORBIHAN;INDIVIDUEL;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;320;8;35.22;0.04
;;600;;;;;;;H2;53;BRE;;;;;;;;;;;;;RAMPANTS;LAINE MINERALE;;4.4;24;
612;;612;;14/06/2018;14/06/2018;14/06/2018;2018;;H2;76;OCC;81;TARN;INDIVIDUEL;1983;de 1974 � 1990;;100;76;CEE;RENOVATION SIMPLE;OUATECO;;COMBLES PERDUES;LAINE VEGETALE;290;7;40;
;;613.2701422;;;08/01/2013;08/01/2013;2013;;H1;24;CVL;;;;;;;;;;;;;PLANCHER BAS;PLASTIQUES;600;1.5;29;0.039
;;623.6966825;;;24/03/2014;24/03/2014;2014;;H2;53;BRE;56;MORBIHAN;;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;;7;26;
81.51658768;544.0758294;625.5924171;;;;;;;H2;76;OCC;;;INDIVIDUEL;;;;;;;;;;COMBLES PERDUES;;;;;
;;637.9146919;;;;;;;H1;32;HDF;02;AISNE;INDIVIDUEL;1900;av. 1945;;162;;;R�novation � plusieurs gestes de travaux ;;;COMBLES PERDUES;;;;;
;;638.8625592;;;;;;;H2;53;BRE;35;ILLE-ET-VILAINE;;1900;av. 1945;;42;;;;;;COMBLES PERDUES;;;;;
;;648;;;;;;;H1;28;NOR;;;COLLECTIF;;;;42;375;AH- PRIME AIDE DE SOLIDARITE ENERGETIQUE ASE;Isolation de la toiture des combles de la copropri�t�;;;COMBLES PERDUES;;;;;
;;648;;;;;;;H1;28;NOR;;;COLLECTIF;;;;42;337;AH - TRAVAUX D'AMELIORATION ENERGETIQUE;Isolation de la toiture des combles de la copropri�t�;;;COMBLES PERDUES;;;;;
;;650.2369668;;;15/01/2010;15/01/2010;2010;;H2;24;CVL;;;;;;;;;;;;;ITE;LAINE MINERALE;150;3.3;14;
;;653;;01/01/2013;01/01/2013;01/01/2013;2013;;H1;28;NOR;27;EURE;INDIVIDUEL;1850;av. 1945;6;140;17500;AH HABITER MIEUX DEPARTEMENT COMMUUTE DE COMMUNE;R�novation � plusieurs gestes de travaux;;;COMBLES PERDUES;LAINE MINERALE;300;7.5;28.4;
;;655;;;28/09/2017;28/09/2017;2017;;;;Z_Non Connu;;;;;;;;0;;;;;PLANCHER BAS;LAINE VEGETALE;145;3.8;15;
;;655;;;28/09/2017;28/09/2017;2017;;H2;53;BRE;;;;;;;;;;;;;PLANCHER BAS;LAINE VEGETALE;145;3.8;15;
;;663.507109;;;23/11/2016;23/11/2016;2016;;H2;53;BRE;;;INDIVIDUEL;;;;;;;;;;PLANCHER BAS;LAINE MINERALE;;3.1;15.6;
;;663.507109;;;;;;;H2;53;BRE;35;ILLE-ET-VILAINE;;1850;av. 1945;;180;;;;;;COMBLES PERDUES;;;;;
;;663.507109;;;;;;;H2;53;BRE;35;ILLE-ET-VILAINE;;1962;de 1945 � 1973;;100;;;;;;PLANCHER BAS;;;;;
;;667.2985782;;24/02/2016;;24/02/2016;2016;;;75;NAQ;;;INDIVIDUEL;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;320;7;33;
;;667.2985782;;23/02/2016;;23/02/2016;2016;;;75;NAQ;;;INDIVIDUEL;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;320;7;;
;;671.0900474;;;;;;;H2;53;BRE;35;ILLE-ET-VILAINE;;1973;de 1945 � 1973;;123;;;;;;COMBLES PERDUES;;;;;
;;672.0379147;;;;;;;H2;53;BRE;35;ILLE-ET-VILAINE;;1900;av. 1945;;109;;;;;;COMBLES PERDUES;;;;;
;;675.8293839;;;04/11/2016;04/11/2016;2016;;H2;53;BRE;56;MORBIHAN;;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;;7.1;23;
555.450237;139.3364929;694.7867299;;;;;;;H2;76;OCC;;;INDIVIDUEL;1985;de 1974 � 1990;;;;;;;;COMBLES PERDUES;;;;;
;;701.4218009;;;28/11/2016;28/11/2016;2016;;H2;53;BRE;56;MORBIHAN;;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;;8;28;
;;701.4218009;;;;;;;H2;53;BRE;;;;;;;;;;;;;RAMPANTS;LAINE MINERALE;;7.4;25;
;;702.3696682;;;11/07/2016;11/07/2016;2016;;H2;53;BRE;56;MORBIHAN;;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;;7;27;
;;704.2654028;;;08/03/2011;08/03/2011;2011;;H1;24;CVL;;;;;;;;;;;;;ITE;LAINE MINERALE;100;3.1;15;
;;705.2132701;;22/09/2016;;22/09/2016;2016;;;75;NAQ;;;INDIVIDUEL;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;330;7;85;
;;708;;29/03/2017;;29/03/2017;2017;;H2;53;BRE;56;MORBIHAN;INDIVIDUEL;;;;;;;;;;ITI;LAINE MINERALE;120;3.8;9.5;0.032
;;708.056872;;;17/09/2015;17/09/2015;2015;;H2;53;BRE;56;MORBIHAN;;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;;8;27;
;;708.056872;;;11/08/2011;11/08/2011;2011;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;ITE;LAINE MINERALE;100;2.9;14;
;;710.9004739;;;23/11/2016;23/11/2016;2016;;H2;53;BRE;;;INDIVIDUEL;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;;7.1;37.5;
;;721;2327.056872;13/09/2017;12/04/2017;12/04/2017;2017;;H1;44;GDE;67;BAS-RHIN;INDIVIDUEL;;;;;540;CEE;;ISOVER;IBR;COMBLES PERDUES;LAINE MINERALE;300;7.5;60;
;;731.7535545;;;29/06/2010;29/06/2010;2010;;H2;24;CVL;36;INDRE;;;;;;;;;;;RAMPANTS;LAINE MINERALE;300;7;46;
;;732.7014218;;;;;;;;11;IDF;;;INDIVIDUEL;;;;;;;;;;ITE;PLASTIQUES;120;3.9;;
589.5734597;146.9194313;736.492891;;;;;;;H2;76;OCC;;;;;;;;;;;;;COMBLES PERDUES;;;;;
;;739.3364929;;;16/02/2017;16/02/2017;2017;;H2;53;BRE;56;MORBIHAN;;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;;7.1;30;
;;749.7630332;;;;;;;H2;53;BRE;;;;;;;;;;;;;RAMPANTS;LAINE MINERALE;;6;30;
;;750;;19/03/2018;;19/03/2018;2018;;H2;53;BRE;;;;;;;;;;;;;ITI;LAINE VEGETALE;150;3.8;17.5;0.0395
750;;750;;04/07/2018;24/08/2018;24/08/2018;2018;;H3;94;COR;2A;CORSE-DU-SUD;INDIVIDUEL;1948;de 1945 � 1973;5;135;;;BBC RENOVATION;;;RAMPANTS;LAINE MINERALE;220;7;25;
;;752;;;;;;;;76;OCC;;;;;;;;;;;;;PLANCHER BAS;LAINE MINERALE;;;35;
;;753.5545024;;;;;;;;84;ARA;;;;;;;;;;TRES PERFORMANT - 3 BOUQUETS OU PLUS;;;RAMPANTS;;;;;
;;758.2938389;;;;;;;H2;53;BRE;35;ILLE-ET-VILAINE;;1976;de 1974 � 1990;;103;;;;;;PLANCHER BAS;;;;;
;;761.1374408;;;07/06/2009;07/06/2009;2009;;H2;76;OCC;;;;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;200;5;16;
389.5734597;376.3033175;765.8767773;;;30/12/2009;30/12/2009;2009;;H1;24;CVL;;;;;;;;;;;;;ITE;LAINE VEGETALE;120;3;17;
;;769.6682464;;04/02/2016;;04/02/2016;2016;;;75;NAQ;;;INDIVIDUEL;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;350;7;25;
344.0758294;428.436019;772.5118483;;;24/11/2014;24/11/2014;2014;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;;7;27;
;;774;;;;;;;;76;OCC;;;;;;;;;;;;;COMBLES PERDUES;LAINE VEGETALE;;;48.96;
;;781.042654;;;;;;;H1;84;ARA;42;LOIRE;;;;;;;;BBC RENOVATION;;;RAMPANTS;;;;;
;;781.042654;;;06/09/2010;06/09/2010;2010;;H2;24;CVL;41;LOIR-ET-CHER;;;;;;;;;;;ITE;LAINE MINERALE;100;3.2;24;
;;781.9905213;;;01/05/2016;01/05/2016;2016;;H2;53;BRE;;;INDIVIDUEL;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;;7.1;33;
;;785;;01/01/2013;01/01/2013;01/01/2013;2013;;H1;28;NOR;;;INDIVIDUEL;1900;av. 1945;6;97;13523;AH HABITER MIEUX COMMUUTE DE COMMUNE;R�novation � plusieurs gestes de travaux;;;COMBLES PERDUES;LAINE MINERALE;;;15;
;;794;;09/06/2016;;09/06/2016;2016;;H2;53;BRE;56;MORBIHAN;INDIVIDUEL;;;;;;;;;;ITI;LAINE MINERALE;140;3.8;15.85;0.0373
433;361;794;;;;;;;H2;24;CVL;41;LOIR-ET-CHER;INDIVIDUEL;;;;;;; R�novation � plusieurs gestes de travaux;;;RAMPANTS;LAINE MINERALE;220;6.3;42;
;;796.2085308;;;;;;;H2;53;BRE;35;ILLE-ET-VILAINE;;1900;av. 1945;;130;;;;;;PLANCHER BAS;;;;;
;;800;;;;;;;H2;53;BRE;;;;;;;;;;;;;RAMPANTS;LAINE MINERALE;;6;30;
;;800;;;;;;;H2;84;ARA;;;;;;;;;;;;;COMBLES PERDUES;;;;;
;;800;2306.15673;17/11/2017;29/07/2017;29/07/2017;2017;;H1;44;GDE;67;BAS-RHIN;INDIVIDUEL;;;;;266;CEE;RENOVATION SIMPLE;ISOVER;IBR ;COMBLES PERDUES;LAINE MINERALE;300;7.5;29.5;
;;808.5308057;;31/07/2015;;31/07/2015;2015;;;75;NAQ;;;INDIVIDUEL;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;320;7;45;
157.3459716;681.5165877;838.8625592;;;30/04/2010;30/04/2010;2010;;H2;24;CVL;41;LOIR-ET-CHER;;;;;;;;;;;ITE;LAINE MINERALE;100;3.2;18;
;;840;;10/10/2016;;10/10/2016;2016;;H2;53;BRE;56;MORBIHAN;INDIVIDUEL;;;;;;;;;;RAMPANTS;LAINE MINERALE;270;6;20;0.045
;;842.6540284;;;;;;;H2;53;BRE;35;ILLE-ET-VILAINE;;1930;av. 1945;;83;;;;;;ITI;;;;;
;;846.4454976;;;17/10/2011;17/10/2011;2011;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;ITE;LAINE MINERALE;170;2.9;17;
468.2464455;379.1469194;847.3933649;;;01/10/2012;01/10/2012;2012;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;ITE;LAINE VEGETALE;120;3.2;20;0.038
;;850.2369668;;;;;;;H1;84;ARA;42;LOIRE;;;;;;;;TRES PERFORMANT - 3 BOUQUETS OU PLUS;;;RAMPANTS;;;;;
;;855.9241706;;;;;;;H2;53;BRE;;;;;;;;;;;;;RAMPANTS;LAINE MINERALE;;8;29.64;
;;860.6635071;;;;;;;H1;32;HDF;60;OISE;INDIVIDUEL;1900;av. 1945;;155;;;R�novation � plusieurs gestes de travaux ;;;ITE;;;;;
;;860.6635071;;;26/05/2016;26/05/2016;2016;;H2;53;BRE;;;INDIVIDUEL;;;;;;;;;;PLANCHER BAS;PLASTIQUES;;3;20.5;
;;861.6113744;;;;;;;H1;32;HDF;02;AISNE;INDIVIDUEL;1976;de 1974 � 1990;;170;;;R�novation � plusieurs gestes de travaux ;;;COMBLES PERDUES;;;;;
478;385;863;;;;;;;H2;24;CVL;41;LOIR-ET-CHER;INDIVIDUEL;;;;;;; R�novation � plusieurs gestes de travaux;;;COMBLES PERDUES;LAINE MINERALE;300;7.5;52;
;;870.1421801;;;;;;;H2;53;BRE;;;;;;;;;;;;;RAMPANTS;LAINE MINERALE;;6.5;27;
;;870.1421801;;;29/04/2009;29/04/2009;2009;;H2;24;CVL;;;;;;;;;;;;;RAMPANTS;LAINE MINERALE;240;5;32;
;;875.8293839;;;12/06/2010;12/06/2010;2010;;H1;24;CVL;;;;;;;;;;;;;ITE;LAINE MINERALE;100;3.2;47;
433.1753555;448.3412322;881.5165877;;;;;;;H2;76;OCC;;;INDIVIDUEL;1950;de 1945 � 1973;;;;;;;;COMBLES PERDUES;;;;;
;;897;;;10/09/2017;10/09/2017;2017;;;;Z_Non Connu;;;;;;;;0;;;;;COMBLES PERDUES;LAINE MINERALE;330;7;30;
;;897;;;10/09/2017;10/09/2017;2017;;H2;53;BRE;;;;;;;;;;;;;COMBLES PERDUES;LAINE MINERALE;330;7;30;
;;900;;16/11/2016;;16/11/2016;2016;;H2;53;BRE;56;MORBIHAN;INDIVIDUEL;;;;;;;;;;RAMPANTS;LAINE MINERALE;240;7.1;19;0.034
;;900;;;;;;;H1;28;NOR;;;;;;;82;2500;AH- PRIME AIDE DE SOLIDARITE ENERGETIQUE ASE;"remplacement chaud. fioul et ecs elec. par chaudi�re bois

+ r�-isolation sol combles";;;COMBLES PERDUES;;;;;
;;900;;;;;;;H1;28;NOR;;;;;;;82;9827;AH - TRAVAUX D'AMELIORATION ENERGETIQUE;"remplacement chaud. fioul et ecs elec. par chaudi�re bois

+ r�-isolation sol combles";;;COMBLES PERDUES;;;;;
;;900;;;;;;;H1;28;NOR;;;;;;;82;2000;CODAH - ASE;"remplacement chaud. fioul et ecs elec. par chaudi�re bois

+ r�-isolation sol combles";;;COMBLES PERDUES;;;;;
;;900;;;;;;;H1;28;NOR;;;;;;;82;1800;DEPT - AIDE A L'HABITAT DURABLE;"remplacement chaud. fioul et ecs elec. par chaudi�re bois

+ r�-isolation sol combles";;;COMBLES PERDUES;;;;;
;;900;;;;;;;H2;84;ARA;;;;;;;;;;;;;COMBLES PERDUES;;;;;
450;450;900;;07/10/2018;07/03/2018;07/03/2018;2018;;H1;24;CVL;;;INDIVIDUEL;;;;;;HABITER MIEUX;RENOVATION A PLUSIEURS GESTES DE TRAVAUX;KUF;TI212;PLANCHER BAS;LAINE MINERALE;160;4;15;0.032
